CommentID,VideoID,VideoTitle,AuthorName,AuthorChannelID,CommentText,Sentiment,Likes,Replies,PublishedAt,CountryCode,CategoryID,comment_length,text_fr
UgwiO7VtWRufcVOG1QF4AaABAg_aug,DplxIq0mc_Y,C pointers explained👉,AugmentedUser,AugmentedCID,This video was quite hard to follow and understand.,Negative,0,0,2025-02-02 11:53:15,CA,27,51,Cette vidéo était assez difficile à suivre et à comprendre.
UgxYhC49FiRv9aY25Ih4AaABAg,p5P6nlQUt1U,SHAPIRO: 5 Reasons Why CNN Is Fake News,@Patricia-f4j,UCvXQidulAHfALeF3Qy3SrVg,Love your show ❤️ 🤍💙 and appreciate your courageous platform. We thank you. TRUMP2024 🇺🇸🇺🇸🇺🇸,Positive,0,0,2024-02-15 20:56:21,US,25,92,Aimez votre spectacle et appréciez votre plateforme courageuse. Nous vous remercions.
UgyNHq3yG5DBx3csprV4AaABAg,txKBWtvV99Y,3 Mini Python Projects - For Intermediates,@ΧρήστοςΨυρούκης,UC-ol9fM3UsDwdu9BT9OPdOQ,"what color theme do you use 
Please tell me",Neutral,0,0,2022-03-25 16:04:30,US,27,43,quel thème de couleur utilisez-vous S'il vous plaît me dire
UgwSB6eAK9Qv_bOnLqV4AaABAg,uwNhtP6svxI,Mugshot Comes Back To Haunt Congressman Matt Gaetz During Impeachment Inquiry,@missbrown2041,UCbvvZm9DMqvLeZz0oCZ2FSw,"The one's who CRY ABOUT ANYTHING THAT THEY HAVE DONE... But!!!
IF SOMEONE ELSE DOES THE VERY SAME THING....
THEN AND ONLY THEN IS IT
NOW A CRIME!!!🤔🤔🤔",Negative,1,0,2022-03-11 19:54:11,US,25,150,Celui qui s'inquiète de tout ce qu'ils ont fait... Mais !!! Si quelqu'un d'autre fait la même chose... alors et alors seulement c'est maintenant un crime !!! . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
UgxUIVRsgz_KM3yhxVB4AaABAg,EVb91vPC7hs,PBBM GALIT NA KAY DIGONG! DUTERTE BAKIT PIKON NA PIKON KAY BBM? IMEE MARCOS KAY DIGONG PA PUMANIG!,@antoniodalumpines158,UCA25u3uBfq_p2A8vm48aFgg,Mr. Duterte.. magpahinga ka na please.. gayahin mo si president biden.. give way na kaagad kay Tramp..,Neutral,16,1,2025-01-21 12:43:46,PH,25,102,M. Duterte.. magpahinga ka na s'il vous plaît.. gayahin mo si president biden.. céder la place na kaagad kay Tramp.. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
Ugy43XWmIbXqur240wh4AaABAg,0ZvaDa8eT5s,#21 Python Tutorial for Beginners | For Loop in Python,@osasezomo5280,UCu1om_LwcmJBPI0u7nvi8Ew,"for a in range(1,501):
    if a==0:
        pass
    else:
        print(a*a)",Neutral,0,0,2023-07-10 11:23:10,IN,27,77,"pour un range(1,501): si a==0: passe sinon: print(a*a) (a*a) (a) (a) (a) (b) (b) (b) (b) (b) (b) (b) (b) (b) (b) (b) (b) (b) (b) (b) (b) (b) (b) (b)) (b) (b) (b)) (b) (b) (b)) (b) (b)) (b) (b)) (b)) (b)) (b)) (b) (b)) (b)) (b) (b)) (b)) (b)) (b)) (b)) (b)) (b)) (b))) (b))) ()))) ())))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))"
UgxaJEpBOxtpwOjYynZ4AaABAg_aug,NE8mkCjsO4M,"What’s the Plan Here, AMD?",AugmentedUser,AugmentedCID,"It's crazy that China still hasn't realized you can't call a car ""Yangwang"" and market it to the Western audience 😂",Negative,0,0,2025-02-04 14:53:30,US,28,115,"C'est fou que la Chine n'ait toujours pas réalisé que vous ne pouvez pas appeler une voiture ""Yangwang"" et la mettre en marché au public occidental - .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
UgxHM8MTjKrGv4FjxXp4AaABAg,KG1d8_aT6BA,Tammy Bruce: Biden’s lies ‘get people murdered’,@rogerramjet7567,UCvoZh-KDt2sehOKeFtXflvw,"Left Americans behind not only in Afghanistan. Americans here are not just hurting,  they are dying on the vine so to speak. All on Biden.",Negative,832,62,2021-09-03 11:31:23,CA,25,138,"Les Américains ici ne sont pas seulement blessés, ils meurent sur la vigne pour ainsi dire. Tous sur Biden."
Ugwt5yOIlxMlI7YQ21B4AaABAg,VPvVD8t02U8,Flutter Course for Beginners – 37-hour Cross Platform App Development Tutorial,@TrueMomentsVelogs,UCyYu6P5YPMWHnlPw5oUvuAg,"I'm going to start Flutter right now with you, So happy to have your video 🙂",Positive,0,0,2024-03-02 11:44:35,US,27,76,"Je vais commencer Flutter maintenant avec toi, si heureux d'avoir ta vidéo .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
UgxivC0QqIv0VzeIJXZ4AaABAg,EfZ0YCPo73Y,Free Affiliate Marketing Course in Hindi | How to Start Affiliate Marketing for Beginners?,@kk2km,UC1nZFV-f19UQYzF3HANrxQQ,love you sir thank you,Positive,2,0,2023-03-20 15:59:40,IN,27,22,"Je vous aime, monsieur. Merci."
